dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
RacketSports,10,10,10644,cosco_proto_margin_geometry_rho,0.7894736842105263,5.58,ok,0.09796991716356881,0.07500000000000001,0.11350727579434516,0.46223042621899096,0.18649532633523147,0.4447439024845759,0.42874088635047275,0.07181436711301406,0.060000001142422356,3.082253070672353
RacketSports,10,20,10654,cosco,0.7631578947368421,5.64,ok,,,,,,,,,,
RacketSports,10,20,10654,cosco_proto_margin,0.8157894736842105,5.66,ok,,,,,,,,0.07252876855588207,0.11166666808227697,2.2466945151487985
RacketSports,10,20,10654,cosco_geometry_rho,0.8026315789473685,5.65,ok,0.09670360710202643,0.07500000000000001,0.11361998968928198,0.49019773943064243,0.2408260462184747,0.4715431292851766,0.4740501393874486,,,
RacketSports,10,20,10654,cosco_proto_margin_geometry_rho,0.8157894736842105,5.6,ok,0.09724771671335364,0.07500000000000001,0.11342622540908386,0.4755518576574175,0.21111038060237963,0.46120313704013827,0.4520194669564565,0.06404734203630748,0.09333333497246106,2.694298374156157
RacketSports,10,30,10664,cosco,0.7960526315789473,5.64,ok,,,,,,,,,,
RacketSports,10,30,10664,cosco_proto_margin,0.8092105263157895,5.56,ok,,,,,,,,0.034594308988501625,0.054166667722165586,2.3337333420912425
RacketSports,10,30,10664,cosco_geometry_rho,0.8223684210526315,7.06,ok,0.0965563417741118,0.07500000000000001,0.11356751313825562,0.47836912733952286,0.22758364093800384,0.423328760266304,0.4589124446113904,,,
RacketSports,10,30,10664,cosco_proto_margin_geometry_rho,0.8157894736842105,7.98,ok,0.09653327522240945,0.07500000000000001,0.11356226974891226,0.4785360099831705,0.22588231675326825,0.4268180439869563,0.4601844852169355,0.03903691414743662,0.0500000008692344,2.90502047141393
Heartbeat,1,10,5845,cosco,0.7268292682926829,7.44,ok,,,,,,,,,,
Heartbeat,1,10,5845,cosco_proto_margin,0.7268292682926829,5.39,ok,,,,,,,,0.0,0.0,6.9060126940409345
Heartbeat,1,10,5845,cosco_geometry_rho,0.7317073170731707,4.92,ok,0.10975471424294407,0.10895790711281138,0.11046799773836294,0.2046751170816358,0.0,0.19192460079987844,0.0,,,
Heartbeat,1,10,5845,cosco_proto_margin_geometry_rho,0.7317073170731707,4.74,ok,0.10975471424294407,0.10895790711281138,0.11046799773836294,0.2046751170816358,0.0,0.19192460079987844,0.0,0.0,0.0,6.885416237513224
Heartbeat,1,20,5855,cosco,0.7414634146341463,4.51,ok,,,,,,,,,,
Heartbeat,1,20,5855,cosco_proto_margin,0.7414634146341463,4.39,ok,,,,,,,,0.0,0.0,6.96561959584554
Heartbeat,1,20,5855,cosco_geometry_rho,0.7414634146341463,4.36,ok,0.11028740040326176,0.10944168414523583,0.11097675327283128,0.2201627118527791,0.0,0.2065373698870341,0.0,,,
Heartbeat,1,20,5855,cosco_proto_margin_geometry_rho,0.7414634146341463,4.42,ok,0.11028740040326176,0.10944168414523583,0.11097675327283128,0.2201627118527791,0.0,0.2065373698870341,0.0,0.0,0.0,6.969769461949666
Heartbeat,1,30,5865,cosco,0.7365853658536585,4.27,ok,,,,,,,,,,
Heartbeat,1,30,5865,cosco_proto_margin,0.7365853658536585,5.26,ok,,,,,,,,0.0,0.0,6.5727401415507
Heartbeat,1,30,5865,cosco_geometry_rho,0.7365853658536585,6.18,ok,0.11048510092758859,0.10977649107131691,0.11103587337046661,0.2259850303890406,0.0,0.21457954943180085,0.0,,,
Heartbeat,1,30,5865,cosco_proto_margin_geometry_rho,0.7365853658536585,5.63,ok,0.11048510092758859,0.10977649107131691,0.11103587337046661,0.2259850303890406,0.0,0.21457954943180085,0.0,0.0,0.0,6.560472202301026
Heartbeat,10,10,6421,cosco,0.7170731707317073,30.68,ok,,,,,,,,,,
Heartbeat,10,10,6421,cosco_proto_margin,0.7268292682926829,29.93,ok,,,,,,,,0.3927938610315323,0.388333327571551,0.2904798964659373
