dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
Epilepsy,10,20,5550,cosco_geometry_rho,0.927536231884058,31.83,ok,0.10396812238079879,0.086748531894095,0.11362013749667998,0.3765524440919029,0.13648627858492546,0.3306100363532702,0.42616393069426217,,,
Epilepsy,10,20,5550,cosco_proto_margin_geometry_rho,0.927536231884058,29.62,ok,0.104021749368882,0.086748531894095,0.11358628250136991,0.37491552662350064,0.13382977556514863,0.33006036976973213,0.42353700200716654,0.02279881841192643,0.01500000034769376,4.9257388313611346
Epilepsy,10,30,5560,cosco,0.9347826086956522,30.11,ok,,,,,,,,,,
Epilepsy,10,30,5560,cosco_proto_margin,0.9130434782608695,25.61,ok,,,,,,,,0.03572669704056655,0.04000000109275182,4.29753680229187
Epilepsy,10,30,5560,cosco_geometry_rho,0.927536231884058,26.41,ok,0.10573010541960826,0.09060523544802823,0.11353627232988689,0.3699041064738232,0.12850546253224213,0.3712979038556417,0.4368230919043223,,,
Epilepsy,10,30,5560,cosco_proto_margin_geometry_rho,0.9130434782608695,29.12,ok,0.10577244430791581,0.09060523544802823,0.11345798413997994,0.36708944364267565,0.12352093616500497,0.3686273435751597,0.433951324224472,0.03276689352157215,0.037500001055498916,4.427295279502869
NATOPS,1,10,2482,cosco,0.6444444444444445,2.45,ok,,,,,,,,,,
NATOPS,1,10,2482,cosco_proto_margin,0.6444444444444445,2.46,ok,,,,,,,,0.0,0.0,6.2626899162928265
NATOPS,1,10,2482,cosco_geometry_rho,0.6333333333333333,2.52,ok,0.10591879393696792,0.10165254735624195,0.11074575447887061,0.42531542415454643,0.0,0.4006753424803416,0.0,,,
NATOPS,1,10,2482,cosco_proto_margin_geometry_rho,0.6333333333333333,2.58,ok,0.10591879393696792,0.10165254735624195,0.11074575447887061,0.42531542415454643,0.0,0.4006753424803416,0.0,0.0,0.0,6.385445094108581
NATOPS,1,20,2492,cosco,0.6611111111111111,2.37,ok,,,,,,,,,,
NATOPS,1,20,2492,cosco_proto_margin,0.6611111111111111,2.39,ok,,,,,,,,0.0,0.0,6.444741241137186
NATOPS,1,20,2492,cosco_geometry_rho,0.6666666666666666,2.42,ok,0.10634835561225676,0.09902536443524726,0.113292365893259,0.42076206119135123,0.0,0.3803483198086421,0.0,,,
NATOPS,1,20,2492,cosco_proto_margin_geometry_rho,0.6666666666666666,2.44,ok,0.10634835561225676,0.09902536443524726,0.113292365893259,0.42076206119135123,0.0,0.3803483198086421,0.0,0.0,0.0,6.3608277877171835
NATOPS,1,30,2502,cosco,0.6722222222222223,2.35,ok,,,,,,,,,,
NATOPS,1,30,2502,cosco_proto_margin,0.6722222222222223,2.41,ok,,,,,,,,0.0,0.0,7.085314432779948
NATOPS,1,30,2502,cosco_geometry_rho,0.6444444444444445,2.39,ok,0.10962773790812735,0.10370484175208317,0.11360700852526176,0.3855705471949218,0.0,0.35062981843948365,0.0,,,
NATOPS,1,30,2502,cosco_proto_margin_geometry_rho,0.6444444444444445,2.42,ok,0.10962773790812735,0.10370484175208317,0.11360700852526176,0.3855705471949218,0.0,0.35062981843948365,0.0,0.0,0.0,7.00003358523051
NATOPS,10,10,2914,cosco,0.9388888888888889,12.5,ok,,,,,,,,,,
NATOPS,10,10,2914,cosco_proto_margin,0.9388888888888889,12.2,ok,,,,,,,,0.006593643206482132,0.029444445421298347,2.997134188810984
