model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,RacketSports,10,0.8486842105263158,1.5,10644,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,0.8055937480926514,0.026460298218298702,0.8069167631864548,0.027000000439584254,5.678563301563263
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,RacketSports,10,0.8486842105263158,1.5,10644,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,0.8001002985239029,0.0187691241921857,0.8019772106409073,0.022500000298023223,6.0288877433538435
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,RacketSports,10,0.8486842105263158,1.5,10644,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,0.7915777224302292,0.008083575694763567,0.7940027964115143,0.014500000178813935,6.51265693873167
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,RacketSports,10,0.8355263157894737,1.5,10644,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,0.8052463209629059,0.034808405784424394,0.8069867420196534,0.04025000132620335,5.603091471195221
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,RacketSports,10,0.8486842105263158,1.5,10644,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,0.7979703718423843,0.0237984903389588,0.8003502202033996,0.03425000099465251,6.043975460529327
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,RacketSports,10,0.8552631578947368,1.5,10644,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,0.786667468547821,0.010944497373420745,0.7899508184194565,0.023000000044703484,6.668774060606957
cosco,cosco,Heartbeat,1,0.7268292682926829,1.2,5845,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,Heartbeat,1,0.7268292682926829,1.3,5845,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,0.3135716226696968,0.0,0.3135716226696968,0.0,7.750239086151123
cosco_proto_margin,cosco_proto_margin_m0_b0.1,Heartbeat,1,0.7268292682926829,1.3,5845,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,0.3135716560482979,0.0,0.3135716560482979,0.0,7.750468111038208
cosco_proto_margin,cosco_proto_margin_m0_b0.3,Heartbeat,1,0.7268292682926829,1.3,5845,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,0.3135716584324837,0.0,0.3135716584324837,0.0,7.750118970870972
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,Heartbeat,1,0.7268292682926829,1.4,5845,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,0.3135714656114578,0.0,0.3135714656114578,0.0,7.750754346847534
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,Heartbeat,1,0.7268292682926829,1.3,5845,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,0.3135723301768303,0.0,0.3135723301768303,0.0,7.747371559143066
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,Heartbeat,1,0.7268292682926829,1.3,5845,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,0.3135713642835617,0.0,0.3135713642835617,0.0,7.75166916847229
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,Heartbeat,1,0.7268292682926829,1.4,5845,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,0.31357100963592527,0.0,0.31357100963592527,0.0,7.753759016990662
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,Heartbeat,1,0.7268292682926829,1.4,5845,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,0.31357152909040453,0.0,0.31357152909040453,0.0,7.750993790626526
